Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\Pocillopora_TPC_2022\20220805_CHL_May_TPC.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,8/5/22,,,,,,,,,,,,,
Time,10:23:52 AM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,22.4,,,,,,,,,,,,,
Actual Temperature:,22.4,,,,,,,,,,,,,
Actual Temperature:,22.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.033,0.031,0.062,0.063,0.131,0.149,0.05,0.064,0.099,0.116,0.067,0.069,630
,,0.033,0.031,0.146,0.162,0.434,0.5,0.109,0.135,0.306,0.357,0.158,0.174,663
,,0.032,0.031,0.032,0.031,0.032,0.035,0.03,0.039,0.036,0.041,0.036,0.035,750
,B,0.055,0.061,0.119,0.125,0.118,0.132,0.257,0.256,0.128,0.137,0.093,0.099,630
,,0.126,0.143,0.32,0.364,0.403,0.458,0.775,0.86,0.43,0.479,0.268,0.301,663
,,0.031,0.033,0.051,0.047,0.03,0.03,0.064,0.042,0.034,0.032,0.038,0.037,750
,C,0.077,0.092,0.069,0.079,0.11,0.122,0.104,0.126,0.119,0.135,0.146,0.17,630
,,0.188,0.236,0.176,0.208,0.35,0.363,0.319,0.376,0.393,0.46,0.498,0.579,663
,,0.038,0.043,0.028,0.03,0.034,0.044,0.035,0.043,0.037,0.038,0.033,0.04,750
,D,0.091,0.104,0.092,0.11,0.115,0.157,0.122,0.139,0.085,0.096,0.111,0.125,630
,,0.277,0.331,0.281,0.337,0.377,0.472,0.377,0.443,0.241,0.273,0.349,0.412,663
,,0.033,0.033,0.03,0.038,0.038,0.059,0.037,0.033,0.034,0.039,0.034,0.034,750
,E,0.075,0.088,0.08,0.091,0.102,0.112,0.073,0.082,0.107,0.123,0.066,0.073,630
,,0.213,0.255,0.206,0.239,0.288,0.329,0.175,0.2,0.326,0.37,0.132,0.151,663
,,0.031,0.031,0.038,0.04,0.038,0.037,0.036,0.039,0.034,0.039,0.038,0.045,750
,F,0.085,0.089,0.083,0.089,0.099,0.101,0.092,0.036,0.05,0.035,0.036,0.04,630
,,0.189,0.207,0.233,0.261,0.217,0.238,0.093,0.036,0.05,0.035,0.036,0.04,663
,,0.047,0.05,0.033,0.033,0.056,0.052,0.092,0.035,0.049,0.035,0.035,0.039,750
,G,0.033,0.037,0.04,0.032,0.039,0.031,0.033,0.036,0.032,0.036,0.036,0.038,630
,,0.033,0.036,0.04,0.032,0.039,0.03,0.033,0.036,0.032,0.035,0.036,0.038,663
,,0.032,0.035,0.039,0.031,0.038,0.03,0.032,0.035,0.031,0.035,0.036,0.037,750
,H,0.039,0.034,0.032,0.031,0.041,0.036,0.035,0.031,0.031,0.035,0.037,0.036,630
,,0.039,0.034,0.032,0.031,0.04,0.036,0.035,0.031,0.032,0.035,0.037,0.036,663
,,0.038,0.033,0.032,0.031,0.039,0.035,0.034,0.03,0.031,0.034,0.036,0.035,750
