Date,fragment_ID,Chamber.Channel,Chamber,Position,Run,Temp.Cat,Treatment,Chamber.Vol.L,Notes
20221208,POC-162-25,1,1,1,TPCBASS_Run6,25,Field,0.572,0.000572
20221208,POC-165-25,2,2,2,TPCBASS_Run6,25,Field,0.596,0.000596
20221208,POC-167-25,3,3,3,TPCBASS_Run6,25,Field,0.607,0.000607
20221208,POC-178-25,4,4,4,TPCBASS_Run6,25,Field,0.589,0.000589
20221208,BLK-8-25,5,5,5,TPCBASS_Run6,25,Field,0.614,0.000614
20221208,POC-167-22,8,8,8,TPCBASS_Run6,22,Field,0.598,0.000598
20221208,POC-165-22,9,9,9,TPCBASS_Run6,22,Field,0.597,0.000597
20221208,BLK-7-22,10,10,10,TPCBASS_Run6,22,Field,0.61,0.00061
20221208,POC-178-22,6,11,11,TPCBASS_Run6,22,Field,0.59,0.00059
20221208,POC-162-22,7,12,12,TPCBASS_Run6,22,Field,0.6,0.0006
20221208,POC-167-30,1,1,1,TPCBASS_Run7,30,Field,0.6,0.0006
20221208,POC-165-30,2,2,2,TPCBASS_Run7,30,Field,0.595,0.000595
20221208,POC-162-30,3,3,3,TPCBASS_Run7,30,Field,0.605,0.000605
20221208,POC-178-30,4,4,4,TPCBASS_Run7,30,Field,0.59,0.00059
20221208,BLK-10-30,5,5,5,TPCBASS_Run7,30,Field,0.612,0.000612
20221208,POC-167-28,8,8,8,TPCBASS_Run7,28,Field,0.606,0.000606
20221208,POC-165-28,9,9,9,TPCBASS_Run7,28,Field,0.607,0.000607
20221208,BLK-9-28,10,10,10,TPCBASS_Run7,28,Field,0.61,0.00061
20221208,POC-162-28,6,11,11,TPCBASS_Run7,28,Field,0.59,0.00059
20221208,POC-178-28,7,12,12,TPCBASS_Run7,28,Field,0.597,0.000597
20221208,POC-167-36,1,1,1,TPCBASS_Run8,36,Field,0.585,0.000585
20221208,POC-165-36,2,2,2,TPCBASS_Run8,36,Field,0.598,0.000598
20221208,POC-162-36,3,3,3,TPCBASS_Run8,36,Field,0.595,0.000595
20221208,POC-178-36,4,4,4,TPCBASS_Run8,36,Field,0.563,0.000563
20221208,BLK-12-36,5,5,5,TPCBASS_Run8,36,Field,0.612,0.000612
20221208,POC-167-32,8,8,8,TPCBASS_Run8,32,Field,0.604,0.000604
20221208,POC-165-32,9,9,9,TPCBASS_Run8,32,Field,0.585,0.000585
20221208,BLK-11-32,10,10,10,TPCBASS_Run8,32,Field,0.61,0.00061
