Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\Pocillopora_TPC_2022\Chlorophyll_2022\20230703_CHL_Dec_TPC.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,7/3/23,,,,,,,,,,,,,
Time,10:18:31 AM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,24.6,,,,,,,,,,,,,
Actual Temperature:,24.6,,,,,,,,,,,,,
Actual Temperature:,24.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.026,0.066,0.048,0.05,0.056,0.049,0.045,0.049,0.066,0.059,0.047,0.069,630
,,0.026,0.189,0.118,0.115,0.132,0.111,0.1,0.113,0.156,0.153,0.103,0.175,663
,,0.027,0.028,0.027,0.03,0.029,0.028,0.034,0.029,0.028,0.029,0.03,0.033,750
,B,0.028,0.077,0.056,0.054,0.06,0.055,0.047,0.053,0.071,0.067,0.053,0.075,630
,,0.028,0.232,0.144,0.137,0.154,0.132,0.111,0.132,0.183,0.181,0.12,0.201,663
,,0.029,0.028,0.028,0.028,0.028,0.029,0.028,0.029,0.029,0.033,0.032,0.033,750
,C,0.044,0.038,0.054,0.049,0.027,0.029,0.028,0.028,0.032,0.028,0.028,0.028,630
,,0.094,0.065,0.127,0.098,0.027,0.029,0.028,0.028,0.032,0.028,0.028,0.028,663
,,0.028,0.03,0.029,0.034,0.028,0.028,0.028,0.028,0.031,0.028,0.028,0.028,750
,D,0.051,0.039,0.061,0.052,0.035,0.028,0.029,0.028,0.031,0.029,0.029,0.029,630
,,0.112,0.071,0.15,0.111,0.036,0.028,0.029,0.028,0.031,0.029,0.029,0.029,663
,,0.03,0.029,0.03,0.034,0.035,0.028,0.029,0.028,0.031,0.029,0.029,0.029,750
,E,0.031,0.033,0.036,0.032,0.032,0.029,0.054,0.032,0.034,0.031,0.029,0.029,630
,,0.031,0.032,0.036,0.032,0.032,0.029,0.054,0.032,0.034,0.031,0.029,0.029,663
,,0.03,0.032,0.036,0.032,0.032,0.029,0.054,0.032,0.033,0.031,0.029,0.028,750
,F,0.031,0.039,0.03,0.031,0.029,0.03,0.031,0.028,0.032,0.029,0.03,0.03,630
,,0.031,0.039,0.03,0.032,0.03,0.03,0.031,0.028,0.032,0.029,0.03,0.031,663
,,0.031,0.038,0.03,0.031,0.029,0.03,0.031,0.028,0.032,0.029,0.03,0.03,750
,G,0.028,0.031,0.028,0.028,0.029,0.029,0.03,0.028,0.028,0.029,0.028,0.031,630
,,0.028,0.031,0.028,0.028,0.029,0.029,0.03,0.028,0.028,0.028,0.028,0.031,663
,,0.028,0.031,0.028,0.028,0.029,0.029,0.029,0.028,0.028,0.028,0.028,0.031,750
,H,0.029,0.033,0.031,0.029,0.029,0.028,0.03,0.031,0.034,0.035,0.037,0.03,630
,,0.029,0.033,0.031,0.029,0.029,0.028,0.03,0.031,0.034,0.034,0.037,0.03,663
,,0.029,0.033,0.031,0.029,0.028,0.028,0.029,0.031,0.034,0.034,0.037,0.029,750
