colony_id,Sample,Diameter,weight1.g,weight2.g,Notes
1,Standard,7.44,140.1,144.321,
2,Standard,6.22,90.39,94.226,
3,Standard,5.08,44.092,46.408,
4,Standard,3.16,12.281,12.966,
5,Standard,2.52,6.284,6.691,
6,Standard,1.9,2.708,2.899,
7,Standard,1.18,0.537,0.588,
POC-149,Coral,NA,5.218,5.799,
POC-150,Coral,NA,12.556,13.564,
POC-151,Coral,NA,4.054,4.282,
POC-152,Coral,NA,9.013,9.719,
POC-154,Coral,NA,0.906,1.021,
POC-155,Coral,NA,7.197,7.604,
POC-156,Coral,NA,16.218,17.461,
POC-157,Coral,NA,8.464,9.034,
POC-159,Coral,NA,16.892,18.232,
POC-160,Coral,NA,10.667,11.469,
POC-161,Coral,NA,7.819,8.511,
POC-162,Coral,NA,15.934,17.21,
POC-164,Coral,NA,8.768,9.647,
POC-165,Coral,NA,13.843,14.887,
POC-166,Coral,NA,11.221,12.261,
POC-167,Coral,NA,10.651,11.323,
POC-168,Coral,NA,13.719,14.691,
POC-169,Coral,NA,13.1,14.077,
POC-170,Coral,NA,11.859,12.658,
POC-171,Coral,NA,13.211,14.212,
POC-172,Coral,NA,15.174,16.222,
POC-173,Coral,NA,23.935,25.812,
POC-174,Coral,NA,15.174,16.159,
POC-175,Coral,NA,9.239,10.112,
POC-177,Coral,NA,6.588,7.11,
POC-178,Coral,NA,15.109,16.059,
POC-179,Coral,NA,11.226,12.043,
POC-180,Coral,NA,6.707,7.431,
POC-181,Coral,NA,9.207,9.951,
POC-182,Coral,NA,15.177,16.437,
POC-183,Coral,NA,12.992,13.881,
POC-184,Coral,NA,7.558,8.321,
